109
22.32076,87.31154
22.32079,87.31183
22.32083,87.31215
22.32083,87.31215
22.32065,87.31226
22.32064,87.31226
22.32064,87.31226
22.32053,87.31162
22.32045,87.31096
22.32029,87.30968
22.32027,87.30961
22.32025,87.30958
22.32023,87.30956
22.32019,87.30954
22.32013,87.30953
22.31976,87.30954
22.31976,87.30954
22.31976,87.30952
22.31975,87.30951
22.31975,87.3095
22.31975,87.30949
22.31974,87.30948
22.31974,87.30947
22.31973,87.30947
22.31973,87.30946
22.31972,87.30945
22.31971,87.30944
22.31971,87.30943
22.3197,87.30943
22.31969,87.30942
22.31968,87.30941
22.31967,87.30941
22.31967,87.3094
22.31966,87.3094
22.31965,87.3094
22.31964,87.30939
22.31963,87.30939
22.31961,87.30932
22.3196,87.30921
22.31959,87.30919
22.3196,87.30915
22.31961,87.30909
22.31964,87.30902
22.31975,87.30878
22.31975,87.30878
22.31976,87.30878
22.31977,87.30878
22.31978,87.30878
22.31979,87.30878
22.3198,87.30878
22.31981,87.30878
22.31982,87.30878
22.31982,87.30877
22.31983,87.30877
22.31984,87.30876
22.31985,87.30875
22.31986,87.30874
22.31986,87.30873
22.31987,87.30873
22.31987,87.30872
22.31987,87.30871
22.31987,87.3087
22.31987,87.30869
22.31987,87.30868
22.31987,87.30867
22.31987,87.30866
22.31987,87.30865
22.31986,87.30865
22.31986,87.30864
22.31986,87.30863
22.31985,87.30863
22.31985,87.30862
22.31984,87.30862
22.31984,87.30861
22.31983,87.30861
22.31983,87.3086
22.31982,87.3086
22.31981,87.30859
22.31987,87.30846
22.31988,87.30839
22.31988,87.30832
22.31988,87.30822
22.31988,87.30814
22.31988,87.30806
22.31986,87.30797
22.31983,87.30779
22.3198,87.30763
22.31974,87.30737
22.31972,87.30722
22.31959,87.30623
22.31952,87.30565
22.31947,87.30528
22.31939,87.30474
22.31931,87.30402
22.31922,87.3035
22.31914,87.30294
22.31911,87.30276
22.31903,87.30211
22.31896,87.3018
22.31891,87.30162
22.31884,87.30148
22.31864,87.30121
22.31864,87.30121
22.31893,87.30057
22.31906,87.30021
22.31898,87.29924
22.31893,87.29871
22.31893,87.29858
22.31893,87.29856
